,first_down,first_down_pass,first_down_penalty,first_down_rush,fumbles_lost,g,pass_att,pass_cmp,pass_cmp_pct,pass_int,pass_td,pass_yds,penalty,penalty_yds,points,ranker,rush_att,rush_td,rush_yds,rush_yds_per_att,school_name,tot_plays,tot_yds,tot_yds_per_play,turnovers,year
46,22.8,13.4,1.0,8.4,0.9,12,37.8,21.5,56.8,1.3,2.2,282.3,4.9,45.8,28.8,47,38.4,1.1,164.0,4.3,Illinois,76.3,446.3,5.9,2.3,2002
47,17.9,10.4,2.1,5.5,1.5,13,34.7,18.7,53.9,0.8,1.9,226.5,10.3,91.7,28.8,48,34.8,1.2,106.9,3.1,Louisville,69.5,333.4,4.8,2.4,2002
48,18.7,10.4,1.7,6.6,0.8,12,35.4,18.3,51.5,1.6,2.1,268.0,7.0,54.5,28.8,49,35.1,1.3,118.2,3.4,Texas A&M,70.5,386.2,5.5,2.3,2002
49,19.6,10.4,1.6,7.5,1.0,14,32.0,21.9,68.3,0.6,2.3,230.1,4.6,34.6,28.7,50,34.7,1.1,126.9,3.7,Virginia,66.7,357.1,5.4,1.6,2002
50,18.6,6.6,1.2,10.9,0.8,14,22.6,11.6,51.6,0.9,1.1,141.7,6.8,59.5,28.4,51,46.6,2.0,232.8,5.0,Colorado,69.1,374.5,5.4,1.6,2002
51,19.5,8.2,1.5,9.9,0.7,13,23.8,13.4,56.1,0.7,0.9,190.2,9.3,78.8,28.2,52,47.6,2.2,213.2,4.5,Alabama,71.5,403.5,5.6,1.4,2002
52,18.9,9.5,2.0,7.4,0.8,12,34.2,16.7,48.8,1.8,1.3,214.8,4.7,37.2,27.9,53,36.6,1.7,124.0,3.4,East Carolina,70.8,338.8,4.8,2.6,2002
53,20.1,11.0,0.9,8.2,0.8,13,36.3,19.9,54.9,0.5,1.6,232.8,5.0,38.3,27.8,54,38.8,1.9,148.4,3.8,Michigan,75.2,381.2,5.1,1.3,2002
54,19.0,10.1,1.9,7.0,0.8,13,33.7,18.8,55.9,0.8,1.5,203.5,6.8,61.7,27.8,55,36.5,1.1,109.4,3.0,Tulane,70.2,312.9,4.5,1.6,2002
55,19.1,12.1,1.5,5.5,1.2,11,44.3,23.5,53.0,1.5,1.9,308.0,8.5,77.6,27.7,56,27.5,1.3,84.5,3.1,Utah State,71.7,392.5,5.5,2.6,2002
56,23.8,13.8,2.7,7.4,0.7,12,39.8,24.3,61.2,1.4,2.3,296.3,6.9,57.7,27.6,57,35.0,1.3,137.8,3.9,Nevada,74.8,434.2,5.8,2.1,2002
57,18.7,4.6,1.2,12.9,0.9,14,16.8,7.5,44.7,0.9,0.9,104.4,6.1,56.0,27.4,58,51.7,2.1,268.7,5.2,Nebraska,68.5,373.1,5.4,1.7,2002
